DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230205402,02/02/2023 12:00:00 AM,02/02/2023 12:00:00 AM,1450,2,Rampart,249,1,330,BURGLARY FROM VEHICLE,1822 1300 1202 0344 1609 1307,75,F,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,BIXEL                        ST,WILSHIRE                     BL,34.0517,-118.2637
230612358,07/11/2023 12:00:00 AM,07/09/2023 12:00:00 AM,515,6,Hollywood,644,1,761,BRANDISH WEAPON,1822 0334 0443 0400 2004,61,M,W,102.0,SIDEWALK,308.0,STICK,IC,Invest Cont,761.0,,,,SUNSET,FULLER,34.098,-118.3496
200711001,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,1900,7,Wilshire,785,1,330,BURGLARY FROM VEHICLE,1300 0344,35,F,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,330.0,,,,2100 S  VIEW                         ST,,34.0359,-118.3465
220411709,08/06/2022 12:00:00 AM,08/02/2022 12:00:00 AM,1500,4,Hollenbeck,491,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1300 S  SOTO                         ST,,34.0233,-118.2222
222012314,07/11/2022 12:00:00 AM,07/11/2022 12:00:00 AM,1900,20,Olympic,2021,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2033 0400 0913 1814 2000,18,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,4100 W  6TH                          ST,,34.0635,-118.3128
231210704,04/23/2023 12:00:00 AM,04/23/2023 12:00:00 AM,1025,12,77th Street,1269,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1309 1310 0431 0445,20,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",304.0,CLUB/BAT,IC,Invest Cont,230.0,,,,8200    AVALON                       BL,,33.9647,-118.2651
231711194,06/10/2023 12:00:00 AM,06/09/2023 12:00:00 AM,2050,17,Devonshire,1745,1,310,BURGLARY,0329 1300 0344 0206 0209 0326 1609 0352,31,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,17300    KINGSBURY                    ST,,34.2636,-118.511
211912235,08/20/2021 12:00:00 AM,08/19/2021 12:00:00 AM,2200,19,Mission,1982,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,15200    RAYEN                        ST,,34.2318,-118.4644
212111374,07/12/2021 12:00:00 AM,07/12/2021 12:00:00 AM,30,21,Topanga,2158,1,310,BURGLARY,1604 0344,0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,21100    ERWIN                        ST,,34.1828,-118.5974
222100805,08/01/2022 12:00:00 AM,07/25/2022 12:00:00 AM,1700,21,Topanga,2102,1,310,BURGLARY,1267 0382 0344 0352,47,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,8500    VAL VERDE                    DR,,34.2265,-118.6527
201511085,06/08/2020 12:00:00 AM,06/06/2020 12:00:00 AM,2200,15,N Hollywood,1585,1,330,BURGLARY FROM VEHICLE,1300 0344,42,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,4100    ARCH                         DR,,34.1412,-118.3722
222006787,03/06/2022 12:00:00 AM,03/05/2022 12:00:00 AM,740,20,Olympic,2076,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,PICO                         BL,CATALINA                     ST,34.0473,-118.2947
212109344,05/26/2021 12:00:00 AM,05/25/2021 12:00:00 AM,2300,21,Topanga,2143,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,52,M,W,104.0,DRIVEWAY,,,IC,Invest Cont,331.0,,,,6900    MINSTREL                     AV,,34.1946,-118.6261
200216744,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,30,2,Rampart,205,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1817 0416 0400 2034 1218 0913,31,M,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,900 N  VENDOME                      ST,,34.0823,-118.2755
201226542,09/02/2020 12:00:00 AM,09/01/2020 12:00:00 AM,2100,12,77th Street,1257,1,330,BURGLARY FROM VEHICLE,0344 0329,38,M,I,101.0,STREET,,,IC,Invest Cont,330.0,,,,W  77TH                         ST,S  GRAND                        AV,33.9698,-118.2803
231512008,07/07/2023 12:00:00 AM,06/22/2023 12:00:00 AM,800,15,N Hollywood,1599,2,354,THEFT OF IDENTITY,1822 0930,37,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2900    VALEVISTA TRL,,34.123,-118.3482
200618423,11/24/2020 12:00:00 AM,11/15/2020 12:00:00 AM,2200,6,Hollywood,643,1,310,BURGLARY,1607 0358 0344 0352 1822,23,F,B,505.0,MOTEL,,,IC,Invest Cont,310.0,,,,7100    HOLLYWOOD                    BL,,34.1016,-118.3458
230811911,07/14/2023 12:00:00 AM,07/01/2023 12:00:00 AM,1837,8,West LA,839,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,28,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,10200    SANTA MONICA                 BL,,34.0611,-118.4184
210121685,12/06/2021 12:00:00 AM,12/05/2021 12:00:00 AM,1730,1,Central,181,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 1822 1414,41,M,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692
231306797,02/22/2023 12:00:00 AM,01/20/2023 12:00:00 AM,800,13,Newton,1383,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1814 1906 0913,32,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,5900 S  MAIN                         ST,,33.9869,-118.2739
221013296,08/24/2022 12:00:00 AM,08/24/2022 12:00:00 AM,102,10,West Valley,1018,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1414 1420,0,M,W,507.0,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,740.0,,,,15700    SATICOY                      ST,,34.2085,-118.4749
210116387,09/06/2021 12:00:00 AM,09/05/2021 12:00:00 AM,1330,1,Central,185,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,43,F,H,405.0,CLOTHING STORE,,,IC,Invest Cont,341.0,,,,1100 S  SANTEE                       ST,,34.0363,-118.2573
202012238,07/17/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1600,20,Olympic,2034,1,330,BURGLARY FROM VEHICLE,1822 1609 1307 0344 0352 1221,28,M,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,700    IROLO                        ST,,34.0581,-118.3009
220810406,06/02/2022 12:00:00 AM,06/02/2022 12:00:00 AM,1155,8,West LA,885,1,330,BURGLARY FROM VEHICLE,0358 1302 1307 0321 0344 1822,63,M,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,2500    MOTOR                        AV,,34.0405,-118.4139
231515687,10/04/2023 12:00:00 AM,09/29/2022 12:00:00 AM,220,15,N Hollywood,1586,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,48,F,W,108.0,PARKING LOT,,,IC,Invest Cont,440.0,,,,3900    LANKERSHIM                   BL,,0.0,0.0
222112205,07/27/2022 12:00:00 AM,01/01/2021 12:00:00 AM,830,21,Topanga,2132,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,57,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,7300    DARNOCH                      WY,,34.2032,-118.6445
200110073,04/05/2020 12:00:00 AM,04/04/2020 12:00:00 AM,2100,1,Central,153,1,330,BURGLARY FROM VEHICLE,1300 1822 1607 1402 0344,21,F,B,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,998.0,,,5TH,HILL,34.0488,-118.2518
230109202,03/22/2023 12:00:00 AM,03/20/2023 12:00:00 AM,1049,1,Central,182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394,33,M,C,145.0,MAIL BOX,,,IC,Invest Cont,341.0,,,,1200 S  OLIVE                        ST,,34.0394,-118.2623
210315339,09/03/2021 12:00:00 AM,09/03/2021 12:00:00 AM,1900,3,Southwest,377,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 0429 0444 0913 1241 1243 1814 1821 2000,38,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1200    ROLLAND CURTIS               PL,,34.0164,-118.298
220215023,08/20/2022 12:00:00 AM,08/16/2022 12:00:00 AM,400,2,Rampart,217,1,330,BURGLARY FROM VEHICLE,0344 1601 1210 1822,33,F,B,123.0,PARKING UNDERGROUND/BUILDING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,700 N  ALVARADO                     ST,,34.0738,-118.2658
211608292,06/01/2021 12:00:00 AM,05/31/2021 12:00:00 AM,2300,16,Foothill,1622,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 0416 1218 2004 1814,49,F,H,116.0,OTHER/OUTSIDE,308.0,STICK,IC,Invest Cont,236.0,,,,11200    SAN FERNANDO                 RD,,34.2733,-118.4297
220904593,01/17/2022 12:00:00 AM,01/03/2022 12:00:00 AM,1825,9,Van Nuys,952,2,354,THEFT OF IDENTITY,0928 1822,58,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5300    CEDROS                       AV,,34.1667,-118.4531
221421647,12/29/2022 12:00:00 AM,12/28/2022 12:00:00 AM,2329,14,Pacific,1403,1,310,BURGLARY,0344,65,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,10900    NATIONAL                     BL,,34.0301,-118.4272
200319951,11/05/2020 12:00:00 AM,11/02/2020 12:00:00 AM,1638,3,Southwest,395,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0314 1309 1822 2019,38,F,H,108.0,PARKING LOT,,,IC,Invest Cont,341.0,,,,1900 W  41ST                         ST,,34.0099,-118.3171
231417658,09/21/2023 12:00:00 AM,09/21/2023 12:00:00 AM,1520,14,Pacific,1443,2,624,BATTERY - SIMPLE ASSAULT,0416,46,M,H,710.0,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1300    VENICE                       BL,,33.9953,-118.4501
230912879,08/12/2023 12:00:00 AM,08/12/2023 12:00:00 AM,955,9,Van Nuys,926,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,39,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,440.0,,,,6600    LENNOX                       AV,,34.1915,-118.4455
211611847,09/26/2021 12:00:00 AM,09/24/2021 12:00:00 AM,1600,16,Foothill,1684,2,354,THEFT OF IDENTITY,0377,53,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7800    BEN                          AV,,34.2121,-118.3943
220715534,10/19/2022 12:00:00 AM,10/19/2022 12:00:00 AM,225,7,Wilshire,749,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,403.0,DRUG STORE,,,IC,Invest Cont,442.0,,,,900    CRENSHAW                     BL,,34.0585,-118.3262
210611410,06/17/2021 12:00:00 AM,06/05/2021 12:00:00 AM,1600,6,Hollywood,667,2,664,"BUNCO, PETTY THEFT",0344 1822 0701 0940 1908,32,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,664.0,,,,6000    FOUNTAIN                     AV,,34.0944,-118.3212
221511399,06/22/2022 12:00:00 AM,06/22/2022 12:00:00 AM,915,15,N Hollywood,1539,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,CALIFA                       ST,CRANER                       ST,34.1776,-118.3692
221713794,09/20/2022 12:00:00 AM,06/30/2022 12:00:00 AM,120,17,Devonshire,1792,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,41,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,8300    PENFIELD                     AV,,34.2203,-118.5688
210409391,06/06/2021 12:00:00 AM,06/06/2021 12:00:00 AM,1830,4,Hollenbeck,448,2,901,VIOLATION OF RESTRAINING ORDER,1402 2038 2004,65,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901.0,998.0,,,1300    DE NEVE                      LN,,34.0568,-118.1968
201512068,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,1715,15,N Hollywood,1591,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,45,F,W,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,VENTURA                      BL,LAUREL CANYON                BL,34.1436,-118.3953
230216930,09/07/2023 12:00:00 AM,08/22/2023 12:00:00 AM,500,2,Rampart,251,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0352 1822,56,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,400 S  RAMPART                      BL,,34.0649,-118.2798
201612872,09/14/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1100,16,Foothill,1668,1,330,BURGLARY FROM VEHICLE,0344 1609,26,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,9100    TUJUNGA CANYON               BL,,34.2428,-118.2937
231605993,03/04/2023 12:00:00 AM,03/03/2023 12:00:00 AM,2001,16,Foothill,1657,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1202 0329 1300,80,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,APPERSON,HELENDALE,34.256,-118.2964
220316828,09/15/2022 12:00:00 AM,09/15/2022 12:00:00 AM,30,3,Southwest,334,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0913 0344 0202,56,F,B,102.0,SIDEWALK,,,IC,Invest Cont,440.0,,,,JEFFERSON                    BL,10TH                         AV,34.0256,-118.3282
222016663,11/02/2022 12:00:00 AM,11/02/2022 12:00:00 AM,1715,20,Olympic,2039,2,860,BATTERY WITH SEXUAL CONTACT,1822 0444 0448 0305,20,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,2900    SUNSET                       PL,,34.0608,-118.2864
201214391,06/09/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1700,12,77th Street,1256,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,40,M,H,108.0,PARKING LOT,,,IC,Invest Cont,745.0,,,,7200 S  FIGUEROA                     ST,,33.9747,-118.2827
